Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Aguascalientes ,Aguascalientes,Pasteurizada,Autoservicios,2,8,2025,5,28.17,28.117142857142863,28.139880323268986
Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,2,8,2025,5,27.4,27.400000000000002,27.386384889212625
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.17,34.17000000000001,34.2789036673124
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Tiendas,2,8,2025,5,30.9,30.900000000000002,30.901313610694373
Baja California,Mexicali,Pasteurizada,Autoservicios,2,8,2025,5,26.34,26.34,26.338062356792975
Baja California,Mexicali,Pasteurizada,Tiendas,2,8,2025,5,29.3,29.300000000000004,29.451694046807077
Baja California,Mexicali,Ultrapasteurizada,Autoservicios,2,8,2025,5,27.47,27.47,27.47915127016691
Baja California,Mexicali,Ultrapasteurizada,Tiendas,2,8,2025,5,24.83,24.830000000000002,24.83345143298772
Baja California,Tijuana,Ultrapasteurizada,Autoservicios,2,8,2025,5,32.27,32.80428571428572,32.70389698441829
Baja California,Tijuana,Ultrapasteurizada,Tiendas,2,8,2025,5,31.82,31.819999999999997,31.85044215147589
Baja California Sur,La Paz,Pasteurizada,Autoservicios,2,8,2025,5,27.63,27.63,27.629853319399423
Baja California Sur,La Paz,Pasteurizada,Tiendas,2,8,2025,5,26.0,26.0,26.000354213403458
Baja California Sur,La Paz,Ultrapasteurizada,Autoservicios,2,8,2025,5,28.87,29.392857142857142,29.04701079572623
Baja California Sur,La Paz,Ultrapasteurizada,Tiendas,2,8,2025,5,31.0,31.0,31.00078422812666
CDMX,Ciudad de México,Pasteurizada,Autoservicios,2,8,2025,5,32.83,32.82999999999999,32.817475012705515
CDMX,Ciudad de México,Pasteurizada,Tiendas,2,8,2025,5,27.34,27.34,27.352967896822044
CDMX,Ciudad de México,Ultrapasteurizada,Autoservicios,2,8,2025,5,34.75,34.75,34.764461574166155
