Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Aguascalientes ,Aguascalientes,Pasteurizada,Autoservicios,5,8,2025,1,28.17,28.17000000000001,28.169923939987797
Aguascalientes ,Aguascalientes,Pasteurizada,Tiendas,5,8,2025,1,27.4,27.400000000000002,27.40053236219611
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.17,34.17000000000001,34.27363200643891
Aguascalientes ,Aguascalientes,Ultrapasteurizada,Tiendas,5,8,2025,1,30.9,30.900000000000002,30.91065722204575
Baja California,Mexicali,Pasteurizada,Autoservicios,5,8,2025,1,26.34,26.34,26.340775865894173
Baja California,Mexicali,Pasteurizada,Tiendas,5,8,2025,1,29.3,29.300000000000004,29.30353562564641
Baja California,Mexicali,Ultrapasteurizada,Autoservicios,5,8,2025,1,27.47,27.47,27.4883626159106
Baja California,Mexicali,Ultrapasteurizada,Tiendas,5,8,2025,1,24.83,24.830000000000002,24.837732288028388
Baja California,Tijuana,Ultrapasteurizada,Autoservicios,5,8,2025,1,32.2,32.424285714285716,32.22914443375875
Baja California,Tijuana,Ultrapasteurizada,Tiendas,5,8,2025,1,31.82,31.794285714285714,31.821162692314562
Baja California Sur,La Paz,Pasteurizada,Autoservicios,5,8,2025,1,27.63,27.63,27.633580222050597
Baja California Sur,La Paz,Pasteurizada,Tiendas,5,8,2025,1,26.0,26.0,26.004078447943147
Baja California Sur,La Paz,Ultrapasteurizada,Autoservicios,5,8,2025,1,28.87,29.012857142857143,28.982553479863746
Baja California Sur,La Paz,Ultrapasteurizada,Tiendas,5,8,2025,1,31.0,31.0,30.998016154545848
CDMX,Ciudad de México,Pasteurizada,Autoservicios,5,8,2025,1,32.83,32.82999999999999,32.83112282903176
CDMX,Ciudad de México,Pasteurizada,Tiendas,5,8,2025,1,27.34,27.34,27.34679986285968
CDMX,Ciudad de México,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.75,34.75,34.76304557437815
CDMX,Ciudad de México,Ultrapasteurizada,Tiendas,5,8,2025,1,28.02,28.020000000000003,28.019179115370985
CDMX,ZM Ciudad de México,Pasteurizada,Autoservicios,5,8,2025,1,23.7,23.699999999999996,23.695194030017937
CDMX,ZM Ciudad de México,Pasteurizada,Tiendas,5,8,2025,1,24.07,24.207142857142856,24.21688408688182
CDMX,ZM Ciudad de México,Ultrapasteurizada,Autoservicios,5,8,2025,1,23.7,23.699999999999996,23.695194030017937
CDMX,ZM Ciudad de México,Ultrapasteurizada,Tiendas,5,8,2025,1,25.65,25.650000000000002,25.640424886498046
Campeche,Campeche,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.97,34.97,34.95563318459468
Campeche,Campeche,Ultrapasteurizada,Tiendas,5,8,2025,1,31.75,31.75,31.742029936632882
Chiapas,Tapachula,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.7,35.074285714285715,34.885545655121014
Chiapas,Tapachula,Ultrapasteurizada,Tiendas,5,8,2025,1,30.8,30.45714285714286,30.688101086842945
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Autoservicios,5,8,2025,1,27.5,27.5,27.494737830656955
Chiapas,Tuxtla Gutiérrez,Ultrapasteurizada,Tiendas,5,8,2025,1,28.5,28.5,28.49046678473214
Chihuahua,Cd.Juárez,Pasteurizada,Autoservicios,5,8,2025,1,28.08,28.779999999999998,28.22277728736153
Chihuahua,Cd.Juárez,Pasteurizada,Tiendas,5,8,2025,1,29.6,29.599999999999998,29.627597455690836
Chihuahua,Cd.Juárez,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.37,34.37,34.380554012205224
Chihuahua,Chihuahua,Pasteurizada,Autoservicios,5,8,2025,1,29.95,29.949999999999996,29.93870203222283
Chihuahua,Chihuahua,Pasteurizada,Tiendas,5,8,2025,1,29.55,29.55714285714286,29.541102713747758
Chihuahua,Chihuahua,Ultrapasteurizada,Autoservicios,5,8,2025,1,37.27,37.27,37.221461110103085
Chihuahua,Chihuahua,Ultrapasteurizada,Tiendas,5,8,2025,1,34.5,34.5,34.51492970707981
Coahuila,Piedras Negras,Pasteurizada,Autoservicios,5,8,2025,1,23.3,23.300000000000004,23.29964780847228
